,SMILES,CANONICAL_SMILES,Energy
82104,c1cc(cc2c1c(C(Nc1[nH]cc(Cl)c(=O)c1)=O)cc(C)n2)Br,Cc1cc(C(=O)Nc2cc(=O)c(Cl)c[nH]2)c2ccc(Br)cc2n1,-10.34472021
82105,c1ccc2c(c1)c(cc(n2)-c1ccc(OC2COC3C(COC23)O)cc1)C(N)=O,NC(=O)c1cc(-c2ccc(OC3COC4C(O)COC34)cc2)nc2ccccc12,-9.324533792
82106,CCOC1C(NC(c2c3cccc(C)c3nc(c2)C)=O)CN(C1)C,CCOC1CN(C)CC1NC(=O)c1cc(C)nc2c(C)cccc12,-8.254209419
82107,n1c2c(cc(C)cc2)c(c(C)c1C)C(=O)NCC(C)n1cncc1,Cc1ccc2nc(C)c(C)c(C(=O)NCC(C)n3ccnc3)c2c1,-8.205159137999999
82108,COc1ccc(-c2nc3c(c(c2C)C(Nc2ccc([N+]([O-])=O)cc2OC)=O)cccc3)cc1,COc1ccc(-c2nc3ccccc3c(C(=O)Nc3ccc([N+](=O)[O-])cc3OC)c2C)cc1,-10.1376036368
82109,c1c(C)c(ccc1-c1cc(C(Nc2sc(c(c2C(N)=O)C)C)=O)c2c(cccc2)n1)C,Cc1ccc(-c2cc(C(=O)Nc3sc(C)c(C)c3C(N)=O)c3ccccc3n2)cc1C,-10.951375154
82110,c1c(c2c(cccc2)nc1-c1ccco1)C(=O)NNC(/C=C/C=C/C)=O,C/C=C/C=C/C(=O)NNC(=O)c1cc(-c2ccco2)nc2ccccc12,-0.040745875017
82111,c1c2n(cc(Cl)c1)cc(n2)CNC(=O)c1cc(nc2ccccc12)-c1ccncc1,O=C(NCc1cn2cc(Cl)ccc2n1)c1cc(-c2ccncc2)nc2ccccc12,-1.30516061795
82112,C(CC(=O)C(CS([O])([O])O)NC(=O)c1c2ccc3cccnc3c2ncc1)CCCC(ON1C(CCC1=O)=O)=O,[O]S([O])(O)CC(NC(=O)c1ccnc2c1ccc1cccnc12)C(=O)CCCCCC(=O)ON1C(=O)CCC1=O,-4.957909774
82113,N1(Cc2cnc(C)s2)CC(c2cc(c3c(cccc3)n2)C(=O)NCCOC)OCC1,COCCNC(=O)c1cc(C2CN(Cc3cnc(C)s3)CCO2)nc2ccccc12,-8.875357142
82114,c1c(n(cc1)C)C(=O)NCCC(Cc1ccccc1)N(C)C(c1c2ccccc2nc(OC)c1)=O,COc1cc(C(=O)N(C)C(CCNC(=O)c2cccn2C)Cc2ccccc2)c2ccccc2n1,-1.532438619
82115,c1cccc2c1nc1c(c2C(NN)=O)CN(CC1)C,CN1CCc2nc3ccccc3c(C(=O)NN)c2C1,-7.6852192081
82116,c1ccc2c(C(=O)N(C)C)cc(nc2c1)C1CN(CC(=O)NCCOC)CCO1,COCCNC(=O)CN1CCOC(c2cc(C(=O)N(C)C)c3ccccc3n2)C1,-8.318992809000001
82117,c1c(-c2cc(OCCC)ccc2)nc2ccccc2c1C(NN)=O,CCCOc1cccc(-c2cc(C(=O)NN)c3ccccc3n2)c1,-8.4691650141
82118,c1cc(ncc1-c1nc2c(c(c1)C(NCC1CCC(CNC(=O)OCCOC)CC1)=O)cccc2)N1CCN(C)CC1,COCCOC(=O)NCC1CCC(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)nc3ccccc23)CC1,-10.0211461908
82119,c1c2c(c(c(c1)C)C)nc(cc2C(NC(C(O)=O)CCC(O)=O)=O)C,Cc1cc(C(=O)NC(CCC(=O)O)C(=O)O)c2ccc(C)c(C)c2n1,-7.721534707499999
82120,c1c(c2ccccc2nc1-c1ccccc1)C(Nc1ccc(Cl)c(C(N)=O)c1)=O,NC(=O)c1cc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)ccc1Cl,-5.665146894099999
82121,C1C(CO)C(CCC1)NC(=O)c1ccnc2ccccc21,O=C(NC1CCCCC1CO)c1ccnc2ccccc12,-6.215747509
82122,c1(C)c(nc2ccccc2c1C(Nc1cc(Cl)ccc1OC)=O)-c1ccc(cc1)C,COc1ccc(Cl)cc1NC(=O)c1c(C)c(-c2ccc(C)cc2)nc2ccccc12,-9.7994924048
82123,c1cc2nc(cc(C(NC(CO)C)=O)c2cc1)C,Cc1cc(C(=O)NC(C)CO)c2ccccc2n1,-6.7243543665
82124,*.*.N(C)(CC[N]C(=O)c1c2c(ccc(c2)C)nc(C)c1)Cc1ccc(F)cc1,*.*.Cc1ccc2nc(C)cc(C(=O)[N]CCN(C)Cc3ccc(F)cc3)c2c1,-7.227269336
82125,c12c(c(cc(n2)-c2cnccc2)C(=O)NCCCN2CC(C)CC(C2)C)cc(cc1)S(=O)(NCCCC)=O,CCCCNS(=O)(=O)c1ccc2nc(-c3cccnc3)cc(C(=O)NCCCN3CC(C)CC(C)C3)c2c1,-8.9994998635
82126,C(NC(c1cc(nc2c1cccc2)-c1sc(Cl)cc1)=O)CCCCCC,CCCCCCCNC(=O)c1cc(-c2ccc(Cl)s2)nc2ccccc12,-8.238720287
82127,c1ccc(c2c1c(C(NCc1c(C)cccc1)=O)cc(C)n2)-c1ccccc1,Cc1cc(C(=O)NCc2ccccc2C)c2cccc(-c3ccccc3)c2n1,-8.5997539078
82128,CN(c1cc(C(=O)N2C[C@@]3(CO)CCN(CC3C2)C)c2ccccc2n1)C,CN1CC[C@]2(CO)CN(C(=O)c3cc(N(C)C)nc4ccccc34)CC2C1,-8.111078063
